;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 13/07/2018 10:16:16
;----------------------------------------------

;Address Opcode 	ASM
____SysVT:
0x9FC01180	0x0B4003F8  J	___GenExcept
0x9FC01378	0x70000000  NOP	
0x9FC0137C	0x70000000  NOP	
0x9FC01380	0x0B4003CC  J	_main
0x9FC01384	0x70000000  NOP	
0x9FC01388	0x70000000  NOP	
0x9FC0138C	0x70000000  NOP	
0x9FC01390	0x70000000  NOP	
0x9FC01394	0x70000000  NOP	
0x9FC01398	0x70000000  NOP	
0x9FC0139C	0x70000000  NOP	
0x9FC013A0	0x0B4003CC  J	_main
0x9FC013A4	0x70000000  NOP	
0x9FC013A8	0x70000000  NOP	
0x9FC013AC	0x70000000  NOP	
0x9FC013B0	0x70000000  NOP	
0x9FC013B4	0x70000000  NOP	
0x9FC013B8	0x70000000  NOP	
0x9FC013BC	0x70000000  NOP	
0x9FC013C0	0x0B4003CC  J	_main
0x9FC013C4	0x70000000  NOP	
0x9FC013C8	0x70000000  NOP	
0x9FC013CC	0x70000000  NOP	
0x9FC013D0	0x70000000  NOP	
0x9FC013D4	0x70000000  NOP	
0x9FC013D8	0x70000000  NOP	
0x9FC013DC	0x70000000  NOP	
0x9FC013E0	0x0B4003CC  J	_main
0x9FC013E4	0x70000000  NOP	
0x9FC013E8	0x70000000  NOP	
0x9FC013EC	0x70000000  NOP	
0x9FC013F0	0x70000000  NOP	
0x9FC013F4	0x70000000  NOP	
0x9FC013F8	0x70000000  NOP	
0x9FC013FC	0x70000000  NOP	
0x9FC01400	0x0B4003FE  J	_InterruptTimerKeyboard
0x9FC01404	0x70000000  NOP	
0x9FC01408	0x70000000  NOP	
0x9FC0140C	0x70000000  NOP	
0x9FC01410	0x70000000  NOP	
0x9FC01414	0x70000000  NOP	
0x9FC01418	0x70000000  NOP	
0x9FC0141C	0x70000000  NOP	
0x9FC01420	0x0B4003CC  J	_main
0x9FC01424	0x70000000  NOP	
0x9FC01428	0x70000000  NOP	
0x9FC0142C	0x70000000  NOP	
0x9FC01430	0x70000000  NOP	
0x9FC01434	0x70000000  NOP	
0x9FC01438	0x70000000  NOP	
0x9FC0143C	0x70000000  NOP	
0x9FC01440	0x0B4003CC  J	_main
0x9FC01444	0x70000000  NOP	
0x9FC01448	0x70000000  NOP	
0x9FC0144C	0x70000000  NOP	
0x9FC01450	0x70000000  NOP	
0x9FC01454	0x70000000  NOP	
0x9FC01458	0x70000000  NOP	
0x9FC0145C	0x70000000  NOP	
0x9FC01460	0x0B4003CC  J	_main
0x9FC01464	0x70000000  NOP	
0x9FC01468	0x70000000  NOP	
0x9FC0146C	0x70000000  NOP	
0x9FC01470	0x70000000  NOP	
0x9FC01474	0x70000000  NOP	
0x9FC01478	0x70000000  NOP	
0x9FC0147C	0x70000000  NOP	
0x9FC01480	0x0B4003CC  J	_main
0x9FC01484	0x70000000  NOP	
0x9FC01488	0x70000000  NOP	
0x9FC0148C	0x70000000  NOP	
0x9FC01490	0x70000000  NOP	
0x9FC01494	0x70000000  NOP	
0x9FC01498	0x70000000  NOP	
0x9FC0149C	0x70000000  NOP	
0x9FC014A0	0x0B4003CC  J	_main
0x9FC014A4	0x70000000  NOP	
0x9FC014A8	0x70000000  NOP	
0x9FC014AC	0x70000000  NOP	
0x9FC014B0	0x70000000  NOP	
0x9FC014B4	0x70000000  NOP	
0x9FC014B8	0x70000000  NOP	
0x9FC014BC	0x70000000  NOP	
0x9FC014C0	0x0B4003CC  J	_main
0x9FC014C4	0x70000000  NOP	
0x9FC014C8	0x70000000  NOP	
0x9FC014CC	0x70000000  NOP	
0x9FC014D0	0x70000000  NOP	
0x9FC014D4	0x70000000  NOP	
0x9FC014D8	0x70000000  NOP	
0x9FC014DC	0x70000000  NOP	
0x9FC014E0	0x0B4003CC  J	_main
0x9FC014E4	0x70000000  NOP	
0x9FC014E8	0x70000000  NOP	
0x9FC014EC	0x70000000  NOP	
0x9FC014F0	0x70000000  NOP	
0x9FC014F4	0x70000000  NOP	
0x9FC014F8	0x70000000  NOP	
0x9FC014FC	0x70000000  NOP	
0x9FC01500	0x0B4003CC  J	_main
0x9FC01504	0x70000000  NOP	
0x9FC01508	0x70000000  NOP	
0x9FC0150C	0x70000000  NOP	
0x9FC01510	0x70000000  NOP	
0x9FC01514	0x70000000  NOP	
0x9FC01518	0x70000000  NOP	
0x9FC0151C	0x70000000  NOP	
0x9FC01520	0x0B4003CC  J	_main
0x9FC01524	0x70000000  NOP	
0x9FC01528	0x70000000  NOP	
0x9FC0152C	0x70000000  NOP	
0x9FC01530	0x70000000  NOP	
0x9FC01534	0x70000000  NOP	
0x9FC01538	0x70000000  NOP	
0x9FC0153C	0x70000000  NOP	
0x9FC01540	0x0B4003CC  J	_main
0x9FC01544	0x70000000  NOP	
0x9FC01548	0x70000000  NOP	
0x9FC0154C	0x70000000  NOP	
0x9FC01550	0x70000000  NOP	
0x9FC01554	0x70000000  NOP	
0x9FC01558	0x70000000  NOP	
0x9FC0155C	0x70000000  NOP	
0x9FC01560	0x0B4003CC  J	_main
0x9FC01564	0x70000000  NOP	
0x9FC01568	0x70000000  NOP	
0x9FC0156C	0x70000000  NOP	
0x9FC01570	0x70000000  NOP	
0x9FC01574	0x70000000  NOP	
0x9FC01578	0x70000000  NOP	
0x9FC0157C	0x70000000  NOP	
0x9FC01580	0x0B4003CC  J	_main
0x9FC01584	0x70000000  NOP	
0x9FC01588	0x70000000  NOP	
0x9FC0158C	0x70000000  NOP	
0x9FC01590	0x70000000  NOP	
0x9FC01594	0x70000000  NOP	
0x9FC01598	0x70000000  NOP	
0x9FC0159C	0x70000000  NOP	
0x9FC015A0	0x0B4003CC  J	_main
0x9FC015A4	0x70000000  NOP	
0x9FC015A8	0x70000000  NOP	
0x9FC015AC	0x70000000  NOP	
0x9FC015B0	0x70000000  NOP	
0x9FC015B4	0x70000000  NOP	
0x9FC015B8	0x70000000  NOP	
0x9FC015BC	0x70000000  NOP	
0x9FC015C0	0x0B4003CC  J	_main
0x9FC015C4	0x70000000  NOP	
0x9FC015C8	0x70000000  NOP	
0x9FC015CC	0x70000000  NOP	
0x9FC015D0	0x70000000  NOP	
0x9FC015D4	0x70000000  NOP	
0x9FC015D8	0x70000000  NOP	
0x9FC015DC	0x70000000  NOP	
0x9FC015E0	0x0B4003CC  J	_main
0x9FC015E4	0x70000000  NOP	
0x9FC015E8	0x70000000  NOP	
0x9FC015EC	0x70000000  NOP	
0x9FC015F0	0x70000000  NOP	
0x9FC015F4	0x70000000  NOP	
0x9FC015F8	0x70000000  NOP	
0x9FC015FC	0x70000000  NOP	
0x9FC01600	0x0B4003CC  J	_main
0x9FC01604	0x70000000  NOP	
0x9FC01608	0x70000000  NOP	
0x9FC0160C	0x70000000  NOP	
0x9FC01610	0x70000000  NOP	
0x9FC01614	0x70000000  NOP	
0x9FC01618	0x70000000  NOP	
0x9FC0161C	0x70000000  NOP	
0x9FC01620	0x0B4003CC  J	_main
0x9FC01624	0x70000000  NOP	
0x9FC01628	0x70000000  NOP	
0x9FC0162C	0x70000000  NOP	
0x9FC01630	0x70000000  NOP	
0x9FC01634	0x70000000  NOP	
0x9FC01638	0x70000000  NOP	
0x9FC0163C	0x70000000  NOP	
0x9FC01640	0x0B4003CC  J	_main
0x9FC01644	0x70000000  NOP	
0x9FC01648	0x70000000  NOP	
0x9FC0164C	0x70000000  NOP	
0x9FC01650	0x70000000  NOP	
0x9FC01654	0x70000000  NOP	
0x9FC01658	0x70000000  NOP	
0x9FC0165C	0x70000000  NOP	
0x9FC01660	0x0B4003CC  J	_main
0x9FC01664	0x70000000  NOP	
0x9FC01668	0x70000000  NOP	
0x9FC0166C	0x70000000  NOP	
0x9FC01670	0x70000000  NOP	
0x9FC01674	0x70000000  NOP	
0x9FC01678	0x70000000  NOP	
0x9FC0167C	0x70000000  NOP	
0x9FC01680	0x0B4003CC  J	_main
0x9FC01684	0x70000000  NOP	
0x9FC01688	0x70000000  NOP	
0x9FC0168C	0x70000000  NOP	
0x9FC01690	0x70000000  NOP	
0x9FC01694	0x70000000  NOP	
0x9FC01698	0x70000000  NOP	
0x9FC0169C	0x70000000  NOP	
0x9FC016A0	0x0B4003CC  J	_main
0x9FC016A4	0x70000000  NOP	
0x9FC016A8	0x70000000  NOP	
0x9FC016AC	0x70000000  NOP	
0x9FC016B0	0x70000000  NOP	
0x9FC016B4	0x70000000  NOP	
0x9FC016B8	0x70000000  NOP	
0x9FC016BC	0x70000000  NOP	
0x9FC016C0	0x0B4003CC  J	_main
0x9FC016C4	0x70000000  NOP	
0x9FC016C8	0x70000000  NOP	
0x9FC016CC	0x70000000  NOP	
0x9FC016D0	0x70000000  NOP	
0x9FC016D4	0x70000000  NOP	
0x9FC016D8	0x70000000  NOP	
0x9FC016DC	0x70000000  NOP	
0x9FC016E0	0x0B4003CC  J	_main
0x9FC016E4	0x70000000  NOP	
0x9FC016E8	0x70000000  NOP	
0x9FC016EC	0x70000000  NOP	
0x9FC016F0	0x70000000  NOP	
0x9FC016F4	0x70000000  NOP	
0x9FC016F8	0x70000000  NOP	
0x9FC016FC	0x70000000  NOP	
0x9FC01700	0x0B4003CC  J	_main
0x9FC01704	0x70000000  NOP	
0x9FC01708	0x70000000  NOP	
0x9FC0170C	0x70000000  NOP	
0x9FC01710	0x70000000  NOP	
0x9FC01714	0x70000000  NOP	
0x9FC01718	0x70000000  NOP	
0x9FC0171C	0x70000000  NOP	
0x9FC01720	0x0B4003CC  J	_main
0x9FC01724	0x70000000  NOP	
0x9FC01728	0x70000000  NOP	
0x9FC0172C	0x70000000  NOP	
0x9FC01730	0x70000000  NOP	
0x9FC01734	0x70000000  NOP	
0x9FC01738	0x70000000  NOP	
0x9FC0173C	0x70000000  NOP	
0x9FC01740	0x0B4003CC  J	_main
0x9FC01744	0x70000000  NOP	
0x9FC01748	0x70000000  NOP	
0x9FC0174C	0x70000000  NOP	
0x9FC01750	0x70000000  NOP	
0x9FC01754	0x70000000  NOP	
0x9FC01758	0x70000000  NOP	
0x9FC0175C	0x70000000  NOP	
0x9FC01760	0x0B4003CC  J	_main
0x9FC01764	0x70000000  NOP	
0x9FC01768	0x70000000  NOP	
0x9FC0176C	0x70000000  NOP	
0x9FC01770	0x70000000  NOP	
0x9FC01774	0x70000000  NOP	
0x9FC01778	0x70000000  NOP	
0x9FC0177C	0x70000000  NOP	
0x9FC01780	0x0B4003CC  J	_main
0x9FC01784	0x70000000  NOP	
0x9FC01788	0x70000000  NOP	
0x9FC0178C	0x70000000  NOP	
0x9FC01790	0x70000000  NOP	
0x9FC01794	0x70000000  NOP	
0x9FC01798	0x70000000  NOP	
0x9FC0179C	0x70000000  NOP	
0x9FC017A0	0x0B4003CC  J	_main
0x9FC017A4	0x70000000  NOP	
0x9FC017A8	0x70000000  NOP	
0x9FC017AC	0x70000000  NOP	
0x9FC017B0	0x70000000  NOP	
0x9FC017B4	0x70000000  NOP	
0x9FC017B8	0x70000000  NOP	
0x9FC017BC	0x70000000  NOP	
0x9FC017C0	0x0B4003CC  J	_main
0x9FC017C4	0x70000000  NOP	
0x9FC017C8	0x70000000  NOP	
0x9FC017CC	0x70000000  NOP	
0x9FC017D0	0x70000000  NOP	
0x9FC017D4	0x70000000  NOP	
0x9FC017D8	0x70000000  NOP	
0x9FC017DC	0x70000000  NOP	
0x9FC017E0	0x0B4003CC  J	_main
0x9FC017E4	0x70000000  NOP	
0x9FC017E8	0x70000000  NOP	
0x9FC017EC	0x70000000  NOP	
0x9FC017F0	0x70000000  NOP	
0x9FC017F4	0x70000000  NOP	
0x9FC017F8	0x70000000  NOP	
0x9FC017FC	0x70000000  NOP	
0x9FC01800	0x0B4003CC  J	_main
0x9FC01804	0x70000000  NOP	
0x9FC01808	0x70000000  NOP	
0x9FC0180C	0x70000000  NOP	
0x9FC01810	0x70000000  NOP	
0x9FC01814	0x70000000  NOP	
0x9FC01818	0x70000000  NOP	
0x9FC0181C	0x70000000  NOP	
0x9FC01820	0x0B4003CC  J	_main
0x9FC01824	0x70000000  NOP	
0x9FC01828	0x70000000  NOP	
0x9FC0182C	0x70000000  NOP	
0x9FC01830	0x70000000  NOP	
0x9FC01834	0x70000000  NOP	
0x9FC01838	0x70000000  NOP	
0x9FC0183C	0x70000000  NOP	
0x9FC01840	0x0B4003CC  J	_main
0x9FC01844	0x70000000  NOP	
0x9FC01848	0x70000000  NOP	
0x9FC0184C	0x70000000  NOP	
0x9FC01850	0x70000000  NOP	
0x9FC01854	0x70000000  NOP	
0x9FC01858	0x70000000  NOP	
0x9FC0185C	0x70000000  NOP	
0x9FC01860	0x0B4003CC  J	_main
0x9FC01864	0x70000000  NOP	
; end of ____SysVT
____BootVT:
0xBFC00380	0x3C1E9D00  LUI	R30, 40192
0xBFC00384	0x37DE0FC8  ORI	R30, R30, 4040
0xBFC00388	0x03C00008  JR	R30
0xBFC0038C	0x70000000  NOP	
; end of ____BootVT
_main:
;MENU_LCD_Main.c, 41 :: 		void main() {
0x9D000F30	0x0F4004CF  JAL	2634027836
0x9D000F34	0x70000000  NOP	
0x9D000F38	0x0F400492  JAL	2634027592
0x9D000F3C	0x70000000  NOP	
;MENU_LCD_Main.c, 43 :: 		AD_Init();               //Configura pinos IO como Digitais
0x9D000F40	0x0F40027A  JAL	_AD_Init+0
0x9D000F44	0x70000000  NOP	
;MENU_LCD_Main.c, 44 :: 		Delay_ms(100);           //Estabilizar tensões do circuito
0x9D000F48	0x3C180018  LUI	R24, 24
0x9D000F4C	0x371869FF  ORI	R24, R24, 27135
L_main0:
0x9D000F50	0x2718FFFF  ADDIU	R24, R24, -1
0x9D000F54	0x1700FFFE  BNE	R24, R0, L_main0
0x9D000F58	0x70000000  NOP	
0x9D000F5C	0x70000000  NOP	
;MENU_LCD_Main.c, 45 :: 		Lcd_Inicialize();        //Iniciliza o LCD
0x9D000F60	0x0F400287  JAL	_Lcd_Inicialize+0
0x9D000F64	0x70000000  NOP	
;MENU_LCD_Main.c, 46 :: 		UART2_Init(9600);        //Iniciliza UART 2 p/ Testar Menu
0x9D000F68	0x0F400379  JAL	_UART2_Init+0
0x9D000F6C	0x34192580  ORI	R25, R0, 9600
;MENU_LCD_Main.c, 47 :: 		TimerKeyboard_Init();    //Inicializar o Timer 4 p/ Leitura das Teclas
0x9D000F70	0x0F4003B3  JAL	_TimerKeyboard_Init+0
0x9D000F74	0x70000000  NOP	
;MENU_LCD_Main.c, 48 :: 		EnableInterrupts();      //Habilitação Global de Interupçoes.
0x9D000F78	0x417E6020  EI	R30
;MENU_LCD_Main.c, 50 :: 		Lcd_Out(1,3,"Marcio");
0x9D000F7C	0x3C1BA000  LUI	R27, hi_addr(?lstr1_MENU_LCD_Main+0)
0x9D000F80	0x377B006F  ORI	R27, R27, lo_addr(?lstr1_MENU_LCD_Main+0)
0x9D000F84	0x341A0003  ORI	R26, R0, 3
0x9D000F88	0x0F400329  JAL	_Lcd_Out+0
0x9D000F8C	0x34190001  ORI	R25, R0, 1
;MENU_LCD_Main.c, 51 :: 		Delay_ms(1000);
0x9D000F90	0x3C1800F4  LUI	R24, 244
0x9D000F94	0x371823FF  ORI	R24, R24, 9215
L_main2:
0x9D000F98	0x2718FFFF  ADDIU	R24, R24, -1
0x9D000F9C	0x1700FFFE  BNE	R24, R0, L_main2
0x9D000FA0	0x70000000  NOP	
0x9D000FA4	0x70000000  NOP	
;MENU_LCD_Main.c, 54 :: 		Menu_init();
0x9D000FA8	0x0F400367  JAL	_Menu_init+0
0x9D000FAC	0x70000000  NOP	
;MENU_LCD_Main.c, 58 :: 		while(1) {
L_main4:
;MENU_LCD_Main.c, 60 :: 		Menu_main();
0x9D000FB0	0x0F4002AF  JAL	_Menu_main+0
0x9D000FB4	0x70000000  NOP	
;MENU_LCD_Main.c, 63 :: 		}
0x9D000FB8	0x0B4003EC  J	L_main4
0x9D000FBC	0x70000000  NOP	
;MENU_LCD_Main.c, 68 :: 		}
L_end_main:
L__main_end_loop:
0x9D000FC0	0x0B4003F0  J	L__main_end_loop
0x9D000FC4	0x70000000  NOP	
; end of _main
___CC2DW:
;__Lib_System.c, 4 :: 		
0x9D0009A8	0x27BDFFFC  ADDIU	SP, SP, -4
;__Lib_System.c, 6 :: 		
L_loopDW:
;__Lib_System.c, 7 :: 		
0x9D0009AC	0x831E0000  LB	R30, 0(R24)
;__Lib_System.c, 8 :: 		
0x9D0009B0	0xA2FE0000  SB	R30, 0(R23)
;__Lib_System.c, 9 :: 		
0x9D0009B4	0x26F70001  ADDIU	R23, R23, 1
;__Lib_System.c, 10 :: 		
0x9D0009B8	0x16F6FFFC  BNE	R23, R22, L_loopDW
;__Lib_System.c, 11 :: 		
0x9D0009BC	0x27180001  ADDIU	R24, R24, 1
;__Lib_System.c, 13 :: 		
L_end___CC2DW:
0x9D0009C0	0x03E00008  JR	RA
0x9D0009C4	0x27BD0004  ADDIU	SP, SP, 4
; end of ___CC2DW
___FillZeros:
;__Lib_System.c, 161 :: 		
0x9D0009C8	0x27BDFFFC  ADDIU	SP, SP, -4
;__Lib_System.c, 163 :: 		
L___FillZeros0:
;__Lib_System.c, 164 :: 		
0x9D0009CC	0x12F60004  BEQ	R23, R22, L___FillZeros1
;__Lib_System.c, 165 :: 		
0x9D0009D0	0x70000000  NOP	
;__Lib_System.c, 166 :: 		
L____FillZeros4:
;__Lib_System.c, 167 :: 		
0x9D0009D4	0xAEE00000  SW	R0, 0(R23)
;__Lib_System.c, 168 :: 		
0x9D0009D8	0x0B400273  J	L___FillZeros0
;__Lib_System.c, 169 :: 		
0x9D0009DC	0x26F70004  ADDIU	R23, R23, 4
;__Lib_System.c, 170 :: 		
L___FillZeros1:
;__Lib_System.c, 172 :: 		
L_end___FillZeros:
0x9D0009E0	0x03E00008  JR	RA
0x9D0009E4	0x27BD0004  ADDIU	SP, SP, 4
; end of ___FillZeros
_AD_Init:
;MENU_LCD_Main.c, 75 :: 		void AD_Init()
;MENU_LCD_Main.c, 78 :: 		AD1PCFG = 0xFFFF;   // Initialize AN pins as digital
0x9D0009E8	0x3402FFFF  ORI	R2, R0, 65535
0x9D0009EC	0x3C1EBF81  LUI	R30, 49025
0x9D0009F0	0xAFC29060  SW	R2, -28576(R30)
;MENU_LCD_Main.c, 79 :: 		JTAGEN_bit = 0;     // Desabilita JTAG
0x9D0009F4	0x3C1EBF81  LUI	R30, 49025
0x9D0009F8	0x83C2F200  LB	R2, -3584(R30)
0x9D0009FC	0x7C0218C4  INS	R2, R0, 3, 1
0x9D000A00	0x3C1EBF81  LUI	R30, 49025
0x9D000A04	0xA3C2F200  SB	R2, -3584(R30)
;MENU_LCD_Main.c, 80 :: 		WDTCLR_bit = 1;     //Zera flag watch dog timer
0x9D000A08	0x34020001  ORI	R2, R0, 0x0001
0x9D000A0C	0x3C1EBF80  LUI	R30, 49024
0x9D000A10	0xA3C20008  SB	R2, 8(R30)
;MENU_LCD_Main.c, 82 :: 		}
L_end_AD_Init:
0x9D000A14	0x03E00008  JR	RA
0x9D000A18	0x70000000  NOP	
; end of _AD_Init
_Lcd_Inicialize:
;LCD.c, 12 :: 		void Lcd_Inicialize()
0x9D000A1C	0x27BDFFF8  ADDIU	SP, SP, -8
0x9D000A20	0xAFBF0000  SW	RA, 0(SP)
;LCD.c, 15 :: 		Lcd_Init();
0x9D000A24	0x0F400124  JAL	_Lcd_Init+0
0x9D000A28	0xAFB90004  SW	R25, 4(SP)
;LCD.c, 17 :: 		LCD_BACK_Direction = 0;
0x9D000A2C	0x34020010  ORI	R2, R0, 0x0010
0x9D000A30	0x3C1EBF88  LUI	R30, 49032
0x9D000A34	0xA3C26084  SB	R2, 24708(R30)
;LCD.c, 19 :: 		LCD_BACK = LCD_BACK_ON;
0x9D000A38	0x34020010  ORI	R2, R0, 0x0010
0x9D000A3C	0x3C1EBF88  LUI	R30, 49032
0x9D000A40	0xA3C26098  SB	R2, 24728(R30)
;LCD.c, 21 :: 		Lcd_Cmd(_LCD_CURSOR_OFF);
0x9D000A44	0x0F40020D  JAL	_Lcd_Cmd+0
0x9D000A48	0x3419000C  ORI	R25, R0, 12
;LCD.c, 22 :: 		}
L_end_Lcd_Inicialize:
0x9D000A4C	0x8FB90004  LW	R25, 4(SP)
0x9D000A50	0x8FBF0000  LW	RA, 0(SP)
0x9D000A54	0x03E00008  JR	RA
0x9D000A58	0x27BD0008  ADDIU	SP, SP, 8
; end of _Lcd_Inicialize
_Lcd_Init:
;__Lib_Lcd.c, 84 :: 		
0x9D000490	0x27BDFFFC  ADDIU	SP, SP, -4
0x9D000494	0xAFBF0000  SW	RA, 0(SP)
;__Lib_Lcd.c, 86 :: 		
0x9D000498	0x34020004  ORI	R2, R0, 0x0004
0x9D00049C	0x3C1EBF88  LUI	R30, 49032
0x9D0004A0	0xA3C260A4  SB	R2, 24740(R30)
;__Lib_Lcd.c, 87 :: 		
0x9D0004A4	0x34020008  ORI	R2, R0, 0x0008
0x9D0004A8	0x3C1EBF88  LUI	R30, 49032
0x9D0004AC	0xA3C260A4  SB	R2, 24740(R30)
;__Lib_Lcd.c, 88 :: 		
0x9D0004B0	0x34020020  ORI	R2, R0, 0x0020
0x9D0004B4	0x3C1EBF88  LUI	R30, 49032
0x9D0004B8	0xA3C26124  SB	R2, 24868(R30)
;__Lib_Lcd.c, 89 :: 		
0x9D0004BC	0x34020040  ORI	R2, R0, 0x0040
0x9D0004C0	0x3C1EBF88  LUI	R30, 49032
0x9D0004C4	0xA3C26124  SB	R2, 24868(R30)
;__Lib_Lcd.c, 90 :: 		
0x9D0004C8	0x34020080  ORI	R2, R0, 0x0080
0x9D0004CC	0x3C1EBF88  LUI	R30, 49032
0x9D0004D0	0xA3C26124  SB	R2, 24868(R30)
;__Lib_Lcd.c, 91 :: 		
0x9D0004D4	0x34020002  ORI	R2, R0, 0x0002
0x9D0004D8	0x3C1EBF88  LUI	R30, 49032
0x9D0004DC	0xA3C260A4  SB	R2, 24740(R30)
;__Lib_Lcd.c, 93 :: 		
0x9D0004E0	0x34020004  ORI	R2, R0, 0x0004
0x9D0004E4	0x3C1EBF88  LUI	R30, 49032
0x9D0004E8	0xA3C26084  SB	R2, 24708(R30)
;__Lib_Lcd.c, 94 :: 		
0x9D0004EC	0x34020008  ORI	R2, R0, 0x0008
0x9D0004F0	0x3C1EBF88  LUI	R30, 49032
0x9D0004F4	0xA3C26084  SB	R2, 24708(R30)
;__Lib_Lcd.c, 95 :: 		
0x9D0004F8	0x34020002  ORI	R2, R0, 0x0002
0x9D0004FC	0x3C1EBF88  LUI	R30, 49032
